smiles,title
C=CCNC(=O)CSC1=NC(=C(O1)C2=CC=CC=C2)C3=CC=CC=C3,NCGC00280631-03
COCCN(CC1=NC2=C(C=CC=C2)C(=O)N1)C(=O)C3=C(C)C4=C(O3)C=CC(F)=C4,NCGC00280769-03
CC(NC(=O)C1CCN(CC1)C(=O)C2=C3C=CC=CC3=CC=C2)C4=CC=CC=C4,NCGC00300872-03
